timestamp,mode,W,reps,runs,n,jobs_total,seed,mean_real_s,std_real_s,overhead_vs_W0,throughput_jobs_per_s,throughput_runs_per_s,rep_real_s_list
20260202_105312,cpu,0,5,100,20,2000,42,46.650000,0.046368,1.000000,42.872454,2.143623,46.73;46.62;46.63;46.65;46.62
20260202_105312,cpu,4,5,100,20,2000,42,46.648000,0.042071,0.999957,42.874293,2.143715,46.72;46.62;46.62;46.65;46.63
20260202_105312,cpu,8,5,100,20,2000,42,46.624000,0.028810,0.999443,42.896362,2.144818,46.67;46.62;46.62;46.62;46.59
20260202_105312,cpu,12,5,100,20,2000,42,46.638000,0.016432,0.999743,42.883486,2.144174,46.66;46.65;46.62;46.63;46.63
20260202_105312,cpu,14,5,100,20,2000,42,46.660000,0.045277,1.000214,42.863266,2.143163,46.73;46.64;46.62;46.63;46.68
20260202_105312,cpu,16,5,100,20,2000,42,46.664000,0.048270,1.000300,42.859592,2.142980,46.73;46.64;46.62;46.63;46.70
20260202_105312,mem,0,5,100,20,2000,42,31.514000,0.019494,1.000000,63.463857,3.173193,31.48;31.52;31.52;31.52;31.53
20260202_105312,mem,4,5,100,20,2000,42,31.516000,0.043932,1.000063,63.459830,3.172991,31.58;31.47;31.52;31.48;31.53
20260202_105312,mem,8,5,100,20,2000,42,31.352000,0.299783,0.994859,63.791784,3.189589,31.52;30.82;31.47;31.43;31.52
20260202_105312,mem,12,5,100,20,2000,42,31.452000,0.203519,0.998033,63.588961,3.179448,31.53;31.58;31.53;31.53;31.09
20260202_105312,mem,14,5,100,20,2000,42,31.514000,0.019494,1.000000,63.463857,3.173193,31.52;31.52;31.48;31.53;31.52
20260202_105312,mem,16,5,100,20,2000,42,31.524000,0.005477,1.000317,63.443725,3.172186,31.53;31.52;31.52;31.52;31.53
